gauge,gauge_id,bundesland,stream,receiving_water,distance_to_mouth,northing,easting,position_at_watercourse_official,pegelnullpunkt_m,height_system,timeseries_available,basin_area,drain_length,stream_length
alt_schadow_schleuse_op,5824800,bb,spree,,154.08,5774734.0,428323.0,,,,,4394583483.0,37401.06106,135288.1321
alt_schadow_schleuse_up,5824900,bb,spree,,153.98,5774724.0,428373.0,,,,,4401183038.0,37429.134,135115.0884
bautzen_1,582035,sn,spree,,326.98,5668660.0,458657.0,333.2,185.98,nhn92,x,276781324.6,9386.278919,25735.9269
bautzen_up_1,582032,sn,spree,,316.98,5673942.0,463156.0,321.3,154.24,nhn92,x,309579111.7,9926.836948,29704.65819
beeskow_spreeschleuse_op,5825400,bb,spree,,121.08,5780383.0,449006.0,,,,x,5330400340.0,41191.2506,136111.0548
beeskow_spreeschleuse_up,5825500,bb,spree,,120.98,5780428.0,449031.0,,37.809,,x,5330480335.0,41191.55968,136257.9064
beeskow_walkmuehlschleuse_op,5825600,bb,walkmuehlgraben,spree,1.1,5780363.0,448836.0,,,,,5329480402.0,41187.69598,135813.9885
beeskow_walkmuehlschleuse_up,5825700,bb,walkmuehlgraben,spree,1.0,5780372.0,448850.0,,,,,5329960370.0,41189.5506,135936.4722
boblitz,5838700,bb,dobra,suedumfluter,3.0,5743443.0,428675.0,,50.669,,x,66795493.09,4611.037389,17488.94474
boxberg,583200,sn,schwarzer_schoeps,spree,7.0,5695006.0,470415.0,7.8,118.94,nn,,353376156.5,10605.80615,39621.30378
braesinchen_hauptabflusspegel,5828000,bb,spree,,245.98,5723794.0,458189.0,,82.493,dhhn2016,x,1957347931.0,24960.83326,79048.03698
burg_2,583352,sn,kleine_spree,spree,7.0,5701614.0,454831.0,7.9,113.21,nn,,43757047.57,3732.063884,9412.201091
burg_wehr_nr_15_friedhofswehr_up,5835300,bb,suedumfluter,,15.0,5742263.0,441984.0,,45.03,nn,x,2039862.364,805.7967218,2357.439035
burgneudorf,583350,sn,kleine_spree,spree,2.0,5705482.0,457480.0,3.0,103.74,nn,,294860104.8,9687.976383,31557.92142
cottbus_madlow,5833900,bb,priorgraben,greifenhainer_fliess,19.0,5730202.0,455134.0,,73.062,,,879940.6275,529.2388884,2104.861182
cottbus_sandower_bruecke,5821000,bb,spree,,230.98,5734829.0,454568.0,,67.579,,x,61075879.01,4409.201299,16762.90117
doberburg,5869000,bb,barolder_muehlenfliess,lieberoser_muehlenfliess,0.1,5761439.000037,448015.000025,,40.911,PNP_NN,x,57236138.09,4268.351977,10433.86612
doberburg_muehle_up,5857403,bb,lieberoser_muehlenfliess,schwielochsee,4.5,5761662.999855,448197.000024,,40.615,PNP_NN,x,147590041.6,6854.14979,18792.1887
drehsa,583190,sn,steindoerfler_wasser_(drehsaer_wasser),kotitzer_wasser,,5669407.0,469455.0,3.3,177.62,hn,,6319573.597,1418.302772,3810.433691
ebersbach,582000,sn,spree,,366.98,5650915.0,470671.0,376.0,343.98,nn,,8359435.961,1631.223807,4884.407013
fehrow,5845200,bb,malxe_spree,nordumfluter,4.0,5744951.0,448533.0,,45.03,,x,2570586554.0,28604.94911,100914.7262
friedland_panzerbruecke,5869301,bb,dammuehlenfliess,schwielochsee,2.1,5772721.000026,449203.000221,,40.163,PNP_NN,x,47236812.78,3877.620984,11092.57645
friedland_wuggelmuehle,5869302,bb,wuggel,dammuehlenfliess,1.3,5771037.999591,449215.999853,,44.08,PNP_NN,x,36077565.73,3388.782354,7946.011305
glinzig,5833800,bb,koselmuehlenfliess,priorgraben,1.0,5733623.0,445245.0,,61.503,,,97473423.14,5570.166445,16921.39655
goeritz_nr_195,5837000,bb,goeritzer_muehlenfliess,vetschauer_muehlenfliess,1.0,5738698.0,434808.0,,57.009,,,36117563.03,3390.660316,13992.51544
goyatz_1,5857000,bb,schwielochsee,,,5762923.0,444001.0,,39.535,nn,,3919735.522,1117.000702,2813.280049
goyatz_2,5868900,bb,teichgraben_goyatz,schwielochsee,0.1,5762458.999466,444146.999991,,40.994,PNP_NN,x,1359908.242,657.9302683,1504.721826
groeditz_2,583122,sn,loebauer_wasser,spree,17.0,5672341.0,473676.0,19.4,160.36,nhn92,,193946913.8,7857.17634,21515.90401
grossschweidnitz,583090,sn,loebauer_wasser,spree,47.0,5657831.0,475422.0,50.0,263.61,nn,,41197220.29,3621.254272,7514.653523
hammerstadt_1,583302,sn,weisser_schoeps,schwarzer_schoeps,6.0,5693999.0,482477.0,7.9,135.67,nhn92,,20478618.24,2553.144461,7320.297865
hartmannsdorf_2_wehr_nr_203b_up,5854700,bb,waldgraben,,1.0,5760616.0,423297.0,,40.03,,,4170158626.0,36433.53836,124126.8036
hartmannsdorf_wehr_nr_203a_op,5824000,bb,spree,,173.08,5760622.0,423336.0,,,,,4168598731.0,36426.72354,124364.3028
hartmannsdorf_wehr_nr_203a_up,5824100,bb,spree,,172.98,5760635.0,423327.0,,40.03,,,4168598731.0,36426.72354,124313.1993
heinersbrueck,5845000,bb,malxe_spree,nordumfluter,25.0,5741219.0,465839.0,,60.613,,,29957978.64,3088.028622,7462.802178
hohberg,583020,sn,rosenbach,spree,1.0,5654167.0,461568.0,1.0,294.03,nhn92,,50716577.98,4017.908432,9056.572215
holtendorf,583280,sn,weisser_schoeps,schwarzer_schoeps,49.0,5666974.0,494645.0,53.1,203.6,nhn92,,55116281.12,4188.562662,11069.50796
jaenkendorf_1,583251,sn,schwarzer_schoeps,spree,36.0,5677912.0,486869.0,40.2,160.92,nhn92,x,125031563.7,6308.627649,19189.332
kossenblatt_schleuse_op,5825000,bb,spree,,144.08,5774605.0,435899.0,,,,,4641886796.0,38439.02259,131838.8417
kossenblatt_schleuse_up,5825100,bb,spree,,143.98,5774576.0,435960.0,,,,,4641406829.0,38437.03526,132989.7402
kraftwerk_jaenschwalde_abschlagwehr_1,5845300,bb,malxe_spree,nordumfluter,20.0,5743986.0,462491.0,,,,,85194251.66,5207.511167,11603.92387
leibsch_neues_kanalwehr_nr_208_up,5856100,bb,dahme_umflut_kanal,dahme,100.0,5771110.0,423030.0,,40.0,,,4341427069.0,37174.17324,135373.6454
leibsch_spreewehr_nr_207a_op,5824600,bb,spree,,161.08,5771050.0,423038.0,,40.0,,,4342267013.0,37177.76915,135386.6908
leibsch_spreewehr_nr_207a_up,5824700,bb,spree,,160.98,5771105.0,423067.0,,40.0,,x,4341427069.0,37174.17324,135310.9802
lieberose_wehr_op,5857400,bb,lieberoser_muehlenfliess,schwielochsee,9.2,5760025.999566,452138.000016,,46.632,PNP_NN,x,110152567.6,5921.372414,16053.45572
lieske,582060,sn,spree,,296.98,5686690.0,467276.0,300.6,129.51,nn,,774587736.0,15702.1952,41643.65833
