gauge,gauge_id,bundesland,stream,receiving_water,distance_to_mouth,northing,easting,position_at_watercourse_official,pegelnullpunkt_m,height_system,timeseries_available,basin_area,drain_length,stream_length
albertinenaue,6602500,bb,lausitzer_neisse,,29,5746217,475203,,54.567,,x,1879873.159,773.5516862,2540.41879
alt_schadow_schleuse_op,5824800,bb,spree,,154.08,5774734,428323,,,,,4394583483,37401.06106,135288.1321
alt_schadow_schleuse_up,5824900,bb,spree,,153.98,5774724,428373,,,,,4401183038,37429.134,135115.0884
bad_liebenwerda,5530500,bb,schwarze_elster,,22,5708769,388602,,83.883,,x,3230222046,32065.73891,82158.85482
bautzen_1,582035,sn,spree,,326.98,5668660,458657,333.2,185.98,nhn92,,276781324.6,9386.278919,25735.9269
bautzen_up_1,582032,sn,spree,,316.98,5673942,463156,321.3,154.24,nhn92,,309579111.7,9926.836948,29704.65819
beeskow_spreeschleuse_op,5825400,bb,spree,,121.08,5780383,449006,,,,x,5330400340,41191.2506,136111.0548
beeskow_spreeschleuse_up,5825500,bb,spree,,120.98,5780428,449031,,37.809,,x,5330480335,41191.55968,136257.9064
beeskow_walkmuehlschleuse_op,5825600,bb,walkmuehlgraben,spree,1.1,5780363,448836,,,,,5329480402,41187.69598,135813.9885
beeskow_walkmuehlschleuse_up,5825700,bb,walkmuehlgraben,spree,1,5780372,448850,,,,,5329960370,41189.5506,135936.4722
biehlen_1,5530302,bb,schwarze_elster,,66,5704195,427292,,96.496,,x,1126763973,18938.3239,50949.97492
boblitz,5838700,bb,dobra,suedumfluter,3,5743443,428675,,50.669,,x,66795493.09,4611.037389,17488.94474
boxberg,583200,sn,schwarzer_schoeps,spree,7,5695006,470415,7.8,118.94,nn,,353376156.5,10605.80615,39621.30378
braesinchen_hauptabflusspegel,5828000,bb,spree,,245.98,5723794,458189,,82.493,dhhn2016,x,1957347931,24960.83326,79048.03698
burg_2,583352,sn,kleine_spree,spree,7,5701614,454831,7.9,113.21,nn,,43757047.57,3732.063884,9412.201091
burg_wehr_nr_15_friedhofswehr_up,5835300,bb,suedumfluter,,15,5742263,441984,,45.03,nn,x,2039862.364,805.7967218,2357.439035
burgneudorf,583350,sn,kleine_spree,spree,2,5705482,457480,3,103.74,nn,,294860104.8,9687.976383,31557.92142
cottbus_madlow,5833900,bb,priorgraben,greifenhainer_fliess,19,5730202,455134,,73.062,,,879940.6275,529.2388884,2104.861182
cottbus_sandower_bruecke,5821000,bb,spree,,230.98,5734829,454568,,67.579,,x,61075879.01,4409.201299,16762.90117
doberburg,5869000,bb,barolder_muehlenfliess,,,5761439,448015,,,,,57236138.09,4268.351977,10433.86612
doberburg_muehle_up,5857403,bb,dobberbuser_muehlenfliess,,,5761663,448197,,,,,147590041.6,6854.14979,18792.1887
drehsa,583190,sn,steindoerfler_wasser_(drehsaer_wasser),kotitzer_wasser,,5669407,469455,3.3,177.62,hn,,6319573.597,1418.302772,3810.433691
ebersbach,582000,sn,spree,,366.98,5650915,470671,376,343.98,nn,,8359435.961,1631.223807,4884.407013
eisenhuettenstadt,6030000,bb,lausitzer_neisse,,0,5778118.707,478640.2593,,,,,4792396641,39057.23018,165193.865
fehrow,5845200,bb,malxe_spree,nordumfluter,4,5744951,448533,,45.03,,x,2570586554,28604.94911,100914.7262
friedland_panzerbruecke,5869301,bb,friedlaender_fliess,,,5772721,449203,,,,,47236812.78,3877.620984,11092.57645
friedland_wuggelmuehle,5869302,bb,wuggelmuehlenfliess,,,5771038,449216,,,,,36077565.73,3388.782354,7946.011305
fuerstenwalde_op,582640,bb,fuerstenwalder_spree,mueggelspree,5.5,5800862,436452,,36.38,dhhn92,x,1,1,1
glinzig,5833800,bb,koselmuehlenfliess,priorgraben,1,5733623,445245,,61.503,,,97473423.14,5570.166445,16921.39655
goeritz_nr_195,5837000,bb,goeritzer_muehlenfliess,vetschauer_muehlenfliess,1,5738698,434808,,57.009,,,36117563.03,3390.660316,13992.51544
goerlitz,660160,sn,lausitzer_neisse,,150.7,5667747,499523,151.3,175.63,nn,,1619570722,22705.18382,53123.14787
goyatz_1,5857000,bb,schwielochsee,,,5762923,444001,,39.535,nn,,3919735.522,1117.000702,2813.280049
goyatz_2,5868900,bb,auslauf_kleiner_mochow_see,,,5762459,444147,,,,,1359908.242,657.9302683,1504.721826
granoer_hammer,6675200,bb,grano_buderoser_muehlenfliess,lausitzer_neisse,7,5758003,476040,,42.931,dhhn2016,x,99833263.92,5637.190335,16028.17446
groeditz_2,583122,sn,loebauer_wasser,spree,17,5672341,473676,19.4,160.36,nhn92,,193946913.8,7857.17634,21515.90401
grossdittmannsdorf,554520,sn,grosse_roeder,schwarze_elster,57,5672596,414267,61.4,148.02,nn,,295340072.4,9695.858128,24529.19767
grosskoschen,5534100,bb,ableiter_senftenberger_see,schwarze_elster,10,5705854,434982,,,,,1048849231,18271.81106,48731.23418
grossschoenau_2,662011,sn,mandau,lausitzer_neisse,16,5638429,476802,16.8,301.14,nn,,161509102.4,7170.072804,16380.93558
grossschweidnitz,583090,sn,loebauer_wasser,spree,47,5657831,475422,50,263.61,nn,,41197220.29,3621.254272,7514.653523
guben_2,6602800,bb,lausitzer_neisse,,13,5757648,479866,,37.474,,x,4460459038,37680.34247,144969.6673
guben_sprucke,6670300,bb,schwarzes_fliess,lausitzer_neisse,5,5755691,478937,,43.835,dhhn2016,x,131751110.3,6475.930893,19099.0703
gubin,151140010,pl,lausitzer_neisse,,12.5,5757960.176,479874.0146,,,,,4460819014,37681.86291,145350.8335
hagenwerder_3,660130,sn,lausitzer_neisse,,166,5656532,497588,167.2,191.69,nhn92,,1252915462,19970.36249,43406.38323
hammerstadt_1,583302,sn,weisser_schoeps,schwarzer_schoeps,6,5693999,482477,7.9,135.67,nhn92,,20478618.24,2553.144461,7320.297865
hartau_1,660001,sn,lausitzer_neisse,,197,5634467,487427,198.8,236.54,nhn92,,356335956.8,10650.12948,33418.66985
hartmannsdorf_2_wehr_nr_203b_up,5854700,bb,waldgraben,,1,5760616,423297,,40.03,,,4170158626,36433.53836,124126.8036
