,Gewaesser,Vorfluter,km_zufluss_Vorfluter_ab_muendung_vorfluter
0,ableiter_geierswalder_see,schwarze_elster,78.0
1,ableiter_lohsa_i,kleine_spree,18.0
2,ableiter_senftenberger_see,schwarze_elster,67.0
3,altes_schwarzwasser,hoyerswerdaer_schwarzwasser,5.0
4,berste,spree,60.0
5,berthelsdorfer_wasser,pliessnitz,20.0
6,buchholzer_fliess,greifenhainer_fliess,14.0
7,dobra,suedumfluter,4.0
8,elligastbach,grosse_roeder,17.5
9,foehrenfliess,lausitzer_neisse,74.0
10,geisslitz,grosse_roeder,2.0
11,goeritzer_muehlenfliess,vetschauer_muehlenfliess,1.0
12,grano_buderoser_muehlenfliess,lausitzer_neisse,7.0
13,greifenhainer_fliess,suedumfluter,10.0
14,grosse_roeder,schwarze_elster,31.0
15,hammergraben,schwarze_elster,43.0
16,hammergraben_1,malxe_spree,5.0
17,hoyerswerdaer_schwarzwasser,schwarze_elster,95.0
18,kleine_elster,schwarze_elster,19.0
19,kleine_roeder_1,schwarze_elster,26.0
20,kleine_spree,spree,147.0
21,klosterwasser,schwarze_elster,109.0
22,koselmuehlenfliess,priorgraben,13.0
23,kotitzer_wasser,loebauer_wasser,3.0
24,kuepper,lausitzer_neisse,186.0
25,landwasser,mandau,9.0
26,langes_wasser,hoyerswerdaer_schwarzwasser,33.0
27,loebauer_wasser,spree,187.0
28,lomschanke,kleine_spree,32.0
29,lubsza,lausitzer_neisse,15.0
30,malschwitzer_kleine_spree,spree,190.0
31,malxe,lausitzer_neisse,40.0
32,malxe_spree,nordumfluter,25.0
33,mandau,lausitzer_neisse,194.0
34,neues_buchholzer_fliess,buchholzer_fliess,4.0
35,nordumfluter,spree,59.0
36,pliessnitz,lausitzer_neisse,164.0
37,poessnitz,schwarze_elster,62.0
38,priorgraben,greifenhainer_fliess,2.0
39,promnitz,grosse_roeder,52.0
40,pulsnitz,schwarze_elster,35.0
41,rainitza,schwarze_elster,73.0
42,rosenbach,spree,234.0
43,rosenbach,spree,234.0
44,rothwasser,lausitzer_neisse,154.2
45,ruhlander_schwarzwasser,schwarze_elster,57.0
46,schacke,kleine_elster,17.0
47,schrotbach,lausitzer_neisse,85.5
48,schwarze_roeder,grosse_roeder,81.0
49,schwarzer_schoeps,spree,161.0
50,schwarzes_fliess,lausitzer_neisse,12.0
51,steinbach,grosse_roeder,86.0
52,steindoerfler_wasser_(drehsaer_wasser),kotitzer_wasser,8.0
53,suedumfluter,spree,72.0
54,verlegtes_tranitzfliess,hammergraben_1,20.8
55,vetschauer_muehlenfliess,suedumfluter,8.0
56,walkmuehlgraben,spree,0.0
57,weisser_schoeps,schwarzer_schoeps,17.0
58,wittig,lausitzer_neisse,168.0
59,wudritz,spree,67.0
60,zuleiter_sb_baerwalde_(spree),schwarzer_schoeps,5.0
61,oder,lausitzer_neisse,0.1
