Datum,Schüttung (m³/h)
13/11/15,64
24/11/15,63
1/12/15,113
4/12/15,131
11/12/15,138
18/12/15,131
29/12/15,126
4/1/16,131
8/1/16,133
15/1/16,138
29/1/16,144
10/2/16,167
12/2/16,176
23/2/16,185
26/2/16,185
4/3/16,176
15/3/16,157
18/3/16,150
29/3/16,144
5/4/16,150
8/4/16,150
15/4/16,144
22/4/16,133
29/4/16,133
6/5/16,131
13/5/16,126
20/5/16,114
27/5/16,111
7/6/16,107
14/6/16,104
17/6/16,101
24/6/16,99
1/7/16,96
8/7/16,96
15/7/16,94
29/7/16,88
5/8/16,84
12/8/16,82
19/8/16,80
26/8/16,76
2/9/16,73
9/9/16,70
16/9/16,69
23/9/16,65
30/9/16,63
7/10/16,62
14/10/16,61
21/10/16,58
28/10/16,61
4/11/16,59
11/11/16,59
18/11/16,58
25/11/16,65
2/12/16,65
9/12/16,64
16/12/16,63
23/12/16,65
10/1/17,72
13/1/17,72
20/1/17,76
27/1/17,77
3/2/17,76
10/2/17,78
17/2/17,91
24/2/17,120
3/3/17,138
10/3/17,147
17/3/17,153
24/3/17,147
31/3/17,141
7/4/17,136
13/4/17,133
21/4/17,122
28/4/17,114
5/5/17,109
12/5/17,107
19/5/17,103
2/6/17,103
9/6/17,101
23/6/17,80
30/6/17,79
7/7/17,76
14/7/17,75
21/7/17,75
22/7/17,90
28/7/17,180
4/8/17,144
11/8/17,138
18/8/17,133
25/8/17,141
1/9/17,136
8/9/17,129
15/9/17,120
22/9/17,116
29/9/17,113
13/10/17,126
16/10/17,124
20/10/17,144
27/10/17,141
3/11/17,141
10/11/17,144
17/11/17,147
24/11/17,167
1/12/17,176
8/12/17,180
15/12/17,190
22/12/17,190
29/12/17,185
5/1/18,212
12/1/18,180
19/1/18,185
26/1/18,190
2/2/18,195
9/2/18,190
16/2/18,180
23/2/18,164
2/3/18,164
9/3/18,160
23/3/18,150
6/4/18,150
13/4/18,144
20/4/18,138
27/4/18,138
4/5/18,136
18/5/18,131
25/5/18,122
1/6/18,113
8/6/18,109
15/6/18,106
29/6/18,100
6/7/18,94
13/7/18,89
20/7/18,87
27/7/18,86
3/8/18,79
10/8/18,77
17/8/18,75
24/8/18,73
31/8/18,72
7/9/18,70
14/9/18,67
21/9/18,63
28/9/18,61
5/10/18,58
12/10/18,55
19/10/18,53
26/10/18,49
1/11/18,48
9/11/18,45
16/11/18,43
23/11/18,41
30/11/18,40
7/12/18,40
14/12/18,41
21/12/18,41
28/12/18,55
4/1/19,72
11/1/19,88
18/1/19,106
25/1/19,138
1/2/19,150
8/2/19,150
15/2/19,157
22/2/19,157
1/3/19,144
15/3/19,150
26/3/19,150
5/4/19,147
12/4/19,147
18/4/19,144
26/4/19,131
3/5/19,126
17/5/19,111
14/6/19,133
21/6/19,111
25/6/19,116
5/7/19,114
12/7/19,106
19/7/19,103
23/7/19,100
30/7/19,97
6/8/19,97
13/8/19,91
20/8/19,90
27/8/19,82
3/9/19,81
9/9/19,78
